SNo,Surname,OtherNames,CountyCode,County,ConstituencyCode,ConstituencyName,CAWCode,CAWName,PartyCode,PartyName,PartyAbbreviation,ElectionType
1,Kaplawat,Shadrack Kibet,030,Baringo,,,,,055,Alliance for Change Party,AFC,Senate
2,Letasio,Samuel Benone,030,Baringo,,,,,011,Kenya Moja Movement,KMM,Senate
3,Kipruto,Steve David,030,Baringo,,,,,058,Republican Liberty Party,RLP,Senate
4,Benjamin,Chebon Kiprop,030,Baringo,,,,,040,The New Democrats,TND,Senate
5,Cheburet,Kiprono Chemitei,030,Baringo,,,,,015,United Democratic Alliance,UDA,Senate
6,Kurui,Daniel Kirchirchir,030,Baringo,,,,,045,Umoja Na Maendeleo Party,UMP,Senate
7,Kenga,Stanely Karisa,003,Kilifi,017,Magarini,,,0103,Democracy for the Citizens Party,DCP,National Assembly
8,Ngumbao,Furaha Chengo,003,Kilifi,017,Magarini,,,090,Democratic National Alliance,DNA,National Assembly
9,Kwicha,Jacob Therno,003,Kilifi,017,Magarini,,,049,Federal Party of Kenya,FPK,National Assembly
10,Kalama,Amos Katana,003,Kilifi,017,Magarini,,,IND,Independent,IND,National Assembly
11,Gakahu,Sarah Wahito,003,Kilifi,017,Magarini,,,011,Kenya Moja Movement,KMM,National Assembly
12,Masha,John Sulubu,003,Kilifi,017,Magarini,,,019,Kenya Social Congress,KSC,National Assembly
13,Kombe,Harrison Garama,003,Kilifi,017,Magarini,,,021,Orange Democratic Movement,ODM,National Assembly
14,Karisa,Hamadi Chadi,003,Kilifi,017,Magarini,,,059,Roots Party of Kenya,RPK,National Assembly
15,Kalama,Emmanuel Kitsao,003,Kilifi,017,Magarini,,,0102,The We Alliance Party,TWAP,National Assembly
16,Nazi,Samuel Kombe,003,Kilifi,017,Magarini,,,012,Wiper Patriotic Front,WPF,National Assembly
17,Hassan,Ahmed Maalim,009,Mandera,040,Banissa,,,015,United Democratic Alliance,UDA,National Assembly
18,Mohamed,Nurdin Maalim,009,Mandera,040,Banissa,,,081,United Progressive Alliance,UPA,National Assembly
19,Njeru,Ruben Murithi,014,Embu,066,Mbeere North,,,055,Alliance for Change Party,AFC,National Assembly
20,Ndwiga,Newton Karinki,014,Embu,066,Mbeere North,,,013,Democratic Party of Kenya,DP,National Assembly
21,Mbui,Duncan Iteri,014,Embu,066,Mbeere North,,,087,Chama Cha Kazi,KAZI,National Assembly
22,Ngari,Daniel Iteri,014,Embu,066,Mbeere North,,,011,Kenya Moja Movement,KMM,National Assembly
23,Ngari,Albert Murimi,014,Embu,066,Mbeere North,,,002,The National Vision Party,NVP,National Assembly
24,Iteri,Lawrence Mwaniki,014,Embu,066,Mbeere North,,,034,Safina Party,SAFINA,National Assembly
25,Njeru,Leo Wa Muthende,014,Embu,066,Mbeere North,,,015,United Democratic Alliance,UDA,National Assembly
26,Waiharo,Simon Mwaura,014,Embu,066,Mbeere North,,,045,Umoja Na Maendeleo Party,UMP,National Assembly
27,Muringi,Isaac Ngiri,014,Embu,066,Mbeere North,,,081,United Progressive Alliance,UPA,National Assembly
28,Angatia,James Shinachi,037,Kakamega,201,Malava,,,055,Alliance for Change Party,AFC,National Assembly
29,Panyako,Seth Ambusini,037,Kakamega,201,Malava,,,085,Democratic Action Party - Kenya,DAP-K,National Assembly
30,Mwanga,Edgar Busiega,037,Kakamega,201,Malava,,,0103,Democracy for the Citizens Party,DCP,National Assembly
31,Manyasi,Joab Burudi,037,Kakamega,201,Malava,,,090,Democratic National Alliance,DNA,National Assembly
32,Jason,Shivakale Bruce,037,Kakamega,201,Malava,,,093,Entrust Pioneer Party,EPP,National Assembly
33,Tuvei,Wilberforce Indai,037,Kakamega,201,Malava,,,011,Kenya Moja Movement,KMM,National Assembly
34,Nakwa,Benjamin,,037,Kakamega,201,Malava,,,083,National Ordinary People Empowerment Union,NOPEU,National Assembly
35,Oyugi,George Ngaira,037,Kakamega,201,Malava,,,044,Party of Democratic Unity,PPU,National Assembly
36,Ndakwa,David Athman,037,Kakamega,201,Malava,,,015,United Democratic Alliance,UDA,National Assembly
37,Aketch,Lilian Akinyi,041,Siaya,223,Ugunja,,,055,Alliance for Change Party,AFC,National Assembly
38,Okumu,Maurice Jumah,041,Siaya,223,Ugunja,,,049,Federal Party of Kenya,FPK,National Assembly
39,Offiro,Eric Ochieng,041,Siaya,223,Ugunja,,,027,Jubilee Party,JP,National Assembly
40,Omondi,Chrisphine Odnor,041,Siaya,223,Ugunja,,,033,Kenya African National Union,KANU,National Assembly
41,Olengo,Vincent Ywaya,041,Siaya,223,Ugunja,,,011,Kenya Moja Movement,KMM,National Assembly
42,Ochuka,Oliver Ochieng,041,Siaya,223,Ugunja,,,071,National Liberal Party,NLP,National Assembly
43,Omondi,Moses Okoth,041,Siaya,223,Ugunja,,,021,Orange Democratic Movement,ODM,National Assembly
44,Ochiel,Fredrick Odhiambo,041,Siaya,223,Ugunja,,,041,United Democratic Movement,UDM,National Assembly
45,Otieno,Benson Obol,041,Siaya,223,Ugunja,,,079,United Green Movement,UGM,National Assembly
46,Odhiambo,Johannes Orodi Dovens,041,Siaya,223,Ugunja,,,012,Wiper Patriotic Front,WPF,National Assembly
47,Okello,Jesse Samson Owen Okello,043,Homa Bay,245,Kasipul,,,090,Democratic National Alliance,DNA,National Assembly
