S/No,Certificate Serial No.,Name of the Party,Abbreviation,Certificate Date of Issue,Symbol,Colors,Postal Address of Party,Location of Head Office of Party,Slogan,Changes
1,001,People’s Liberation Party,PLP,1st March 2012,"Purple Rose","Lilac, White, Purple",34200-00100 Nairobi,"NARC-Kenya House, Woodard Road, Off Lenara Road","Unite, Liberate","Formerly National Rardown Coalition-Kenya (NARC-KENYA) Charges also in colors and stogan"
2,002,The National Vision Party,NVP,2nd March 2012,Light House,"Blue, Green",29200-00100 NAJROBI,"Westend Place 2rd Floor, Along Mai Mainu Rd, Off Langata Road/Mibagathi Road","Hati, Umoja na Usdawi",
3,003,Labour Party of Kenya,LPK,29th March 2012,Star,"Red, Black, Yellow, Luminous Green",46775-00100 Nairobi,"Kilimani Area, Shiko Road Off Eigeyo Marakwet Road","Nyida ya Kenya",
4,005,Mwangaza,MWAP,13th March 2012,House,"Blue, Red",64929-00620 Nairobi,"Thika Road Day Company House Next to Safari Park Hotel","Makao ya Wakinya","Formerly Mwangaza Tu Party (MTP)"
5,007,Party of Independent Candidate of Kenya,PICK,29th March 2012,Child being filled by both hands,"Black, Red, Yellow, Green, White, Light Blue",21812-00400 Nairobi,"Uganda House 2nd Floor Room 20 Kenyatta Avenue",,
6,008,Devolution Empowerment Party,DEP,29th March 2012,Bus,"Green, Black, Gold",2570-30100 Eldoret,"Cedar Clinical Associates, Makasimo Road Eldoret","Kenya Mypa","Formerly Restore and Build Kenya"
7,009,Kenya National Congress,KNC,19th April 2012,Key,"Blue, Green, Yellow",76651-00508 Nairobi,"KEMA Building, 4th Floor, Off Shimo la Tewa Road, Industrial Area.","Wakanya Tujpange",
8,010,Mazingira Green Party,MGP,29th April 2012,Tree,"Red, Black, Green",51855-00100 Nairobi,"Paa Crescent Estate No.122/B South C Nairobi","Maisha Bona",
9,011,Kenya Moja Movement Party,KMM,31st May 2024,K1,"Purple, Black, Yellow",10446-00100 Nairobi,"Kambu Road, directly Opposite Quickmart supermarket, behind bed palace","Umroja ni Nguyu","Formerly National Democratic Movement (NDM)"
10,012,Wiper Patriotic Front,WPF,30th June 2025,Umbrella,"Earth Red, Royal Blue, White",40300100 Nairobi,"Sunrise Court, Kulunga Road – off Langaata Road, Karen",Wiper,"Formerly Wiper Democratic Movement (WDM)"
